city,cyber_personal_revenge,cyber_emotional_motives_like_anger_etc,cyber_fraud,cyber_extortion,cyber_causing_disrepute,cyber_prank,cyber_sl,cyber_city,cyber_sexual_exploitation,cyber_political_motives,cyber_terrorist_activities,cyber_inciting_hate_against_country,cyber_disrupt_public_service,cyber_sale_purchase_illegal_drugs,cyber_developing_own_business,cyber_spreading_piracy,cyber_psycho_or_pervert,cyber_steal_information,cyber_abetment_to_suicide,cyber_others,cyber_total
Jabalpur,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Jamshedpur,0.0,0.0,233.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0
Jodhpur,8.0,0.0,24.0,7.0,3.0,0.0,13.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,134.0
Kannur,2.0,1.0,109.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
Kollam,4.0,0.0,97.0,6.0,6.0,0.0,15.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0
Kota,0.0,0.0,47.0,1.0,22.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
Ludhiana,13.0,11.0,21.0,2.0,2.0,0.0,17.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
Madurai,0.0,0.0,86.0,0.0,0.0,0.0,18.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
Malappuram,1.0,0.0,146.0,1.0,0.0,0.0,19.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0
Meerut,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,181.0
Nasik,0.0,0.0,107.0,0.0,0.0,0.0,21.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,143.0
Prayagraj,0.0,0.0,310.0,59.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0
Raipur,0.0,0.0,0.0,0.0,4.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.0
Rajkot,0.0,0.0,42.0,1.0,6.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,58.0
Ranchi,0.0,0.0,255.0,4.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0
Srinagar,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Thiruvananthapuram,16.0,5.0,194.0,21.0,7.0,0.0,27.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,264.0
Thrissur,6.0,1.0,206.0,5.0,0.0,1.0,28.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,41.0,275.0
Tiruchirapalli,4.0,0.0,43.0,17.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0
Vadodara,0.0,0.0,62.0,2.0,9.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
Varanasi,0.0,0.0,198.0,5.0,7.0,8.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0
Vasai Virar,0.0,1.0,59.0,0.0,0.0,0.0,32.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,124.0
Ntr (Vijayawada),1.0,4.0,174.0,0.0,0.0,0.0,33.0,0.0,16.0,73.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,286.0
Vishakhapatnam,45.0,0.0,297.0,3.0,0.0,0.0,34.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,386.0
● As Per Data Provided By States/Uts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
● States/Uts/Cities May Not Be Compared Purely On The Basis Of Crime Figures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
