state,district,total_ipc_crimes,total_sll_crimes,total_crime_burden,violent_crime_total,property_crime_total,arms_act_cases,ndps_narcotics_cases,contraband_enforcement_total,crimes_against_women_total,crimes_against_children_total,crimes_against_sc_total,crimes_against_st_total,sc_st_atrocities_total,juvenile_ipc_crimes_total,cybercrimes_total,missing_persons_total,missing_children_total,violent_crime_ratio,property_crime_ratio,women_vulnerability_share,child_vulnerability_share,caste_atrocity_share,juvenile_delinquency_ratio,cyber_crime_intensity_per_1k,trafficking_vulnerability_proxy
Punjab,Cp Ludhiana,13229,4442,17671,449,1333,74,1638,1712,1811,1208,62,0,62,166,181,131,80,0.0339,0.1008,0.1369,0.0913,0.0047,0.0125,13.6821,0.315
Punjab,Cyber Crime Wing,95,18,113,0,10,0,0,0,11,8,0,0,0,3,20,0,0,0.0,0.1053,0.1158,0.0842,0.0,0.0316,210.5263,0.0
Punjab,Faridkot,3933,1920,5853,101,276,24,886,910,340,156,12,0,12,76,31,306,108,0.0257,0.0702,0.0864,0.0397,0.0031,0.0193,7.882,4.5
Punjab,Fatehgarh Sahib,3627,986,4613,80,231,14,511,525,391,129,0,0,0,19,15,525,120,0.0221,0.0637,0.1078,0.0356,0.0,0.0052,4.1356,4.2857
Punjab,Fazilka,4752,2162,6914,180,320,30,912,942,775,367,32,0,32,77,90,355,28,0.0379,0.0673,0.1631,0.0772,0.0067,0.0162,18.9394,0.4308
Punjab,Ferozepur,8194,2387,10581,182,367,34,924,958,543,205,34,0,34,56,48,416,212,0.0222,0.0448,0.0663,0.025,0.0041,0.0068,5.8579,4.5106
Punjab,Grp,1217,789,2006,18,207,34,288,322,38,24,0,0,0,11,15,17,8,0.0148,0.1701,0.0312,0.0197,0.0,0.009,12.3254,4.0
Punjab,Gurdaspur,2697,1519,4216,97,222,36,579,615,363,183,12,0,12,53,53,73,4,0.036,0.0823,0.1346,0.0679,0.0044,0.0197,19.6515,0.129
Punjab,Hoshiarpur,6718,3274,9992,171,722,44,1453,1497,903,390,63,0,63,88,95,873,276,0.0255,0.1075,0.1344,0.0581,0.0094,0.0131,14.1411,5.3077
Punjab,Intelligence Wing,24,513,537,1,5,124,144,268,0,0,0,0,0,0,0,0,0,0.0417,0.2083,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,Jalandhar Rural,5532,2451,7983,149,521,40,1316,1356,543,280,48,0,48,85,105,380,80,0.0269,0.0942,0.0982,0.0506,0.0087,0.0154,18.9805,2.0513
Punjab,Kapurthala,5148,2845,7993,120,474,66,1254,1320,476,180,8,0,8,140,19,148,124,0.0233,0.0921,0.0925,0.035,0.0016,0.0272,3.6908,3.6471
Punjab,Khanna,3709,1675,5384,111,389,42,940,982,394,269,17,0,17,0,75,494,68,0.0299,0.1049,0.1062,0.0725,0.0046,0.0,20.2211,1.2364
Punjab,Ludhiana Rural,3262,1907,5169,79,203,12,1032,1044,414,217,13,0,13,36,52,164,164,0.0242,0.0622,0.1269,0.0665,0.004,0.011,15.9411,3.2157
Punjab,Malerkotla,1930,1147,3077,45,159,8,625,633,242,135,8,0,8,18,16,97,76,0.0233,0.0824,0.1254,0.0699,0.0041,0.0093,8.2902,2.375
Punjab,Mansa,5828,2062,7890,107,305,14,1056,1070,385,180,36,0,36,45,48,168,36,0.0184,0.0523,0.0661,0.0309,0.0062,0.0077,8.2361,1.3333
Punjab,Moga,5634,2561,8195,138,337,64,1356,1420,518,271,16,0,16,50,108,329,20,0.0245,0.0598,0.0919,0.0481,0.0028,0.0089,19.1693,0.5
Punjab,Muktsar,3446,2598,6044,102,182,24,1347,1371,361,199,22,0,22,76,46,216,12,0.0296,0.0528,0.1048,0.0577,0.0064,0.0221,13.3488,0.3077
Punjab,Nri Wing,1939,232,2171,4,113,0,0,0,537,0,0,0,0,0,0,0,0,0.0021,0.0583,0.2769,0.0,0.0,0.0,0.0,0.0
Punjab,Pathankot,2080,1015,3095,59,118,2,351,353,331,165,8,0,8,13,82,241,52,0.0284,0.0567,0.1591,0.0793,0.0038,0.0062,39.4231,1.8571
Punjab,Patiala,11721,4240,15961,250,1053,66,1964,2030,1136,399,33,0,33,152,50,333,144,0.0213,0.0898,0.0969,0.034,0.0028,0.013,4.2658,1.8701
Punjab,Ropar,3256,1303,4559,79,282,10,550,560,367,157,9,0,9,21,88,285,144,0.0243,0.0866,0.1127,0.0482,0.0028,0.0064,27.027,5.3333
Punjab,Sangrur,6878,3192,10070,208,488,18,1457,1475,673,383,24,0,24,89,224,375,288,0.0302,0.071,0.0978,0.0557,0.0035,0.0129,32.5676,5.1429
Punjab,Sas Nagar,11806,2770,14576,362,1277,100,931,1031,1649,412,45,0,45,0,56,347,308,0.0307,0.1082,0.1397,0.0349,0.0038,0.0,4.7434,4.0526
Punjab,Sbs Nagar,2755,3028,5783,76,160,28,1913,1941,426,180,13,0,13,5,96,131,32,0.0276,0.0581,0.1546,0.0653,0.0047,0.0018,34.8457,0.8205
Punjab,Special Task Force,14,804,818,0,0,0,603,603,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,Tarn Taran,6651,3222,9873,255,440,76,1228,1304,565,301,20,0,20,56,128,361,28,0.0383,0.0662,0.0849,0.0453,0.003,0.0084,19.2452,0.4667
